reduction_ratio,rating
78.733280,skip
24.601388,skip
91.875489,poor
86.885180,terrible
98.079321,skip
77.283550,excellent
79.483812,excellent
4.224373,poor
95.882040,skip
73.564558,skip
93.305485,fair
91.064340,poor
72.810405,skip
93.966963,skip
98.827169,skip
82.015707,excellent
96.274834,excellent
97.003150,poor
82.035687,skip
90.762613,excellent
60.914441,fair
2.118479,skip
73.800491,fair
0.042934,skip
81.504516,skip
66.744563,skip
36.275711,terrible
73.281581,skip
90.398212,excellent
78.972264,skip
72.410989,poor
87.745955,skip
77.541971,terrible
72.628541,skip
37.462920,skip
92.274410,fair
95.742873,skip
74.454926,terrible
74.882420,fair
89.550602,skip
76.848964,skip
42.287027,skip
77.082155,skip
24.187178,skip
89.926629,skip
97.235093,poor
84.624899,excellent
91.459869,fair
95.164709,excellent
33.289907,skip
59.559962,skip
76.878048,poor
74.925903,skip
71.937775,skip
67.881265,skip
56.814579,skip
75.510039,skip
74.823450,skip
75.763213,skip
84.233513,poor
57.221913,fair
93.167798,skip
79.677424,skip
74.486200,fair
89.280392,skip
93.675233,fair
98.747189,excellent
76.582379,poor
98.632110,skip
64.686860,skip
68.388599,skip
76.687360,skip
95.829475,poor
94.935531,terrible
81.124776,skip
99.336525,poor
80.864240,skip
91.673995,skip
71.330409,poor
67.984765,skip
96.345839,skip
92.325585,good
3.897226,skip
35.994833,fair
0.256268,fair
72.831358,poor
50.743494,skip
72.047778,terrible
0.172017,fair
93.068453,skip
90.582149,excellent
79.477738,skip
97.351428,poor
78.414171,terrible
98.622695,fair
92.376929,excellent
2.265289,skip
74.483118,poor
77.640248,terrible
94.400063,skip
52.124760,skip
0.176558,fair
46.573689,skip
96.745097,good
89.605533,poor
99.324320,excellent
41.301275,fair
97.080304,skip
35,skip
82.824814,excellent
41.807251,poor
77.996316,skip
93.161233,skip
94.138214,poor
79.344072,skip
72.191870,fair
74.218631,skip
99.176329,skip
73.043873,terrible
3.235652,fair
98.286639,terrible
81.963834,skip
68.678275,skip
96.810069,excellent
79.438980,poor
95.584397,fair
55.067099,fair
94.949463,excellent
0.591830,skip
95.007966,skip
93.515355,skip
97.548580,skip
85.989236,skip
93.954605,good
88.685087,skip
2.416700,fair
8.003560,poor
69.780718,good
69.799508,skip
97.220558,skip
80.923679,skip
65.534109,good
44.800141,excellent
36.723587,skip
91.230421,terrible
77.635751,fair
92.841709,fair
0.543487,terrible
0.453740,skip
80.996126,skip
95.640902,skip
73.730625,terrible
77.207872,poor
94.024806,skip
65.384249,good
36.863059,excellent
63.962241,fair
98.727536,terrible
72.957643,skip
85.655162,excellent
1.588983,excellent
73.073439,skip
72.895309,terrible
79.732146,skip
97.489418,skip
55.941631,good
66.709269,terrible
90.834591,poor
97.368251,skip
1.254473,poor
95.968212,terrible
76.530534,skip
52.577365,terrible
90.998562,poor
87.861670,fair
80.935397,skip
92.848108,good
39.142719,skip
5.997874,excellent
99.233316,terrible
70.199078,excellent
74.957265,skip
71.149323,skip
99.612250,skip
96.855275,fair
91.819715,skip
70.460249,skip
94.593150,fair
88.133695,skip
46.488009,skip
78.529552,fair
56.608177,poor
79.169815,terrible
71.672831,good
93.048492,terrible
96.652172,skip
77.850240,skip
79.402561,poor
61.494508,terrible
95,fair
74.579146,skip
61.641498,terrible
92.737545,poor
81.888702,excellent
1.400839,fair
71.116178,skip
93.082532,terrible
5.525547,excellent
55.506677,fair
78.838951,skip
98.960716,skip
99.680627,poor
99.844184,good
75.023085,skip
75.309346,skip
64.867061,good
70.105318,fair
94.880301,skip
99.681848,fair
93.309446,skip
93.527577,skip
54.492446,poor
76.717985,skip
1.431884,skip
0.982702,skip
95.695479,skip
81.548648,skip
73.424385,skip
35.043304,skip
69.644812,skip
84.865173,excellent
29.682289,terrible
77.555571,skip
98.109898,poor
54.549641,skip
71.282743,fair
93.388821,good
38.377434,terrible
56.292007,poor
48.483227,terrible
73.579095,fair
41.736540,skip
69.772146,skip
60.871760,skip
12.353718,poor
93.422811,skip
98.355464,excellent
7.895930,skip
54.374988,skip
77.929933,fair
34.639120,poor
4.179177,skip
51.284023,poor
0.872135,terrible
76.185526,skip
72.476811,skip
96.106935,fair
1.093009,skip
74.798662,skip
57.183205,poor
70.059223,skip
90.147756,skip
55.933775,terrible
37.436093,terrible
67.472057,poor
93.505932,fair
77.320807,excellent
94.374829,fair
76.677324,terrible
75.433636,skip
93.421012,poor
83.492628,skip
94.189349,terrible
5.249367,skip
83.393897,skip
53.317937,terrible
62.627791,poor
68.614679,terrible
80.825798,excellent
94.299052,poor
80.219871,excellent
95.496943,terrible
0.337352,fair
93.841522,good
86.118968,skip
2.485768,terrible
92.458917,fair
0.130291,terrible
97.689771,skip
81.566424,skip
0.897684,poor
0.137310,fair
81.512683,skip
86.865763,skip
92.383933,terrible
73.901610,skip
55.870463,terrible
33.237723,terrible
0.683596,poor
83.148529,excellent
97.097606,skip
0.109088,skip
43.330921,terrible
0.559844,skip
74.213686,skip
56.891906,skip
73.494395,good
53.668472,fair
73.467403,terrible
96.256620,excellent
73.756433,terrible
78.286654,fair
32.029791,skip
37.704729,terrible
73.826727,terrible
97.615440,fair
77.456193,skip
96.284792,poor
96.875197,fair
64.950462,terrible
80.732696,skip
76.909123,skip
76.035403,excellent
40.230095,terrible
81.014921,excellent
70.884192,skip
78.824107,terrible
0.007808,skip
52.258033,skip
0.436722,skip
94.322957,excellent
75.177879,skip
77.843142,excellent
63.606480,skip
0.045336,skip
1.252272,poor
75.591892,skip
76.411961,fair
73.704305,poor
66.609919,fair
87.034715,skip
61.059809,skip
0.565357,skip
83.472177,skip
87.274083,excellent
79.795442,skip
3.562112,skip
94.151092,skip
98.469807,skip
77.984473,excellent
96.200442,skip
76.705956,poor
90.745259,skip
75.130940,fair
41.679462,terrible
1.068568,skip
95.376378,skip
97.905888,terrible
73.730605,skip
79.368199,fair
98.388588,skip
77.314815,poor
77.453860,fair
42.354832,skip
90.719036,terrible
90.381248,skip
81.173109,skip
0.084516,poor
54.355697,skip
42.588931,excellent
0.511929,skip
84.211595,terrible
97.412225,poor
76.708071,poor
84.176376,skip
75.514464,skip
90.224592,skip
31.386734,skip
42.048629,skip
0.267594,terrible
97.260726,fair
74.571966,skip
41.514722,poor
67.906313,poor
99.544988,skip
68.903271,skip
76.349677,fair
47.846654,terrible
71.987142,skip
47.061976,poor
76.572489,skip
43.252956,fair
1.732904,fair
82.343141,skip
46.655638,skip
91.541096,poor
99.693550,skip
78.682786,terrible
95.131647,skip
0.037771,poor
69.108503,skip
85.337131,skip
45.631526,fair
99.303648,good
81.106110,excellent
76.459726,skip
74.060620,fair
75.530762,skip
96.452902,good
67.343954,terrible
58.059881,skip
35.394923,skip
0.650841,terrible
99.649138,fair
75.443820,skip
70.895154,excellent
89.764018,poor
82.983503,skip
76.365804,terrible
96.065341,poor
99.244751,terrible
73.946872,skip
58.997144,terrible
69.243129,poor
68.289939,poor
91.766005,skip
75.541830,poor
0.889473,excellent
95.438043,terrible
48.923507,skip
99.140639,fair
74.375841,skip
0.432555,terrible
35.565065,fair
72.473475,skip
75.155349,skip
42.623094,skip
8.751437,terrible
73.874059,poor
47.920304,skip
56.115090,fair
53.374643,fair
61.916162,poor
74.105951,fair
71.084098,skip
97.548617,poor
84.128985,skip
41.234170,terrible
80.951277,excellent
87.732165,skip
37.370051,terrible
39.579860,terrible
74.650916,poor
95.424980,skip
53.234227,terrible
72.559588,skip
45.957322,skip
33.987217,skip
96.243003,poor
93.146436,skip
73.937615,terrible
99.930547,good
98.936775,fair
97.097743,fair
71.116089,skip
93.727395,poor
81.915934,poor
98.428455,skip
95.545940,excellent
79.947650,skip
63.677603,fair
87.846500,poor
48.625331,fair
70.286192,skip
68.826064,skip
72.069897,skip
82.843419,skip
92.812972,poor
50.609736,skip
99.514265,terrible
98.890461,fair
80.582716,excellent
78.286404,fair
87.181097,skip
92.373860,skip
69.291604,fair
70.921947,fair
75.180514,fair
98.547625,skip
70.315547,terrible
1.521275,skip
42.748485,skip
64.066979,poor
96.862708,skip
94.658639,excellent
78.318379,excellent
75.840469,terrible
94.387534,excellent
65.554615,fair
51.967454,skip
54.181196,skip
68.097004,skip
74.902813,skip
4.957448,terrible
71.288634,skip
71.207989,terrible
91.338411,terrible
72.558105,skip
73.347800,skip
92.953053,excellent
71.099749,skip
77.800059,skip
97.148730,skip
99.689816,fair
88.155964,skip
89.247115,skip
96.795230,skip
73.735946,skip
60.847065,fair
2.737631,skip
74.871408,skip
75.841621,skip
73.737418,skip
71.957634,skip
83.076955,skip
82.409753,terrible
56.238735,skip
96.741036,fair
94.004093,poor
96.020487,poor
12.374667,skip
57.938321,skip
37.430528,terrible
78.667774,excellent
74.087870,skip
87.869868,skip
95.494366,terrible
60.112543,skip
96.197316,poor
98.283320,poor
1.381928,skip
98.789918,skip
91.991738,skip
96.218337,excellent
93.159855,skip
99.443734,fair
34.416162,skip
93.405257,excellent
97.589566,poor
83.661282,skip
72.701785,excellent
96.955091,fair
98.674389,skip
75.458759,terrible
38.578119,skip
33.267722,poor
64.034703,poor
78.802510,skip
50.215050,poor
56.395858,skip
77.156158,skip
33.684607,poor
72.031655,poor
97.247336,terrible
95.468811,terrible
45.572457,poor
76.820693,skip
54.399144,skip
78.097117,terrible
62.534593,poor
72.621660,terrible
5.006738,skip
65.471928,poor
51.023797,excellent
99.556383,poor
73.262839,excellent
36.154040,skip
84.504475,skip
96.092397,skip
92.246638,fair
0.429272,terrible
95.642949,skip
77.407575,excellent
72.879994,fair
0.065921,poor
88.935535,excellent
1.380423,skip
92.850017,terrible
92.900624,terrible
90.342282,poor
94.189484,good
42.117497,skip
73.058398,excellent
36.894692,skip
87.768357,skip
72.176235,skip
95.835331,skip
80.027528,skip
63.576385,poor
92.404244,excellent
97.296053,poor
95.766945,skip
78.556230,excellent
92.640683,terrible
52.752977,fair
78.268173,fair
96.451395,poor
79.360041,skip
96.648987,terrible
94.532375,terrible
93.945005,excellent
0.430801,terrible
83.969056,skip
78.174459,skip
28.545260,skip
95.873295,fair
3.358180,terrible
77.999962,skip
92.655456,skip
7.650569,skip
80.692042,skip
87.294252,excellent
72.925144,poor
75.909589,skip
73.715571,poor
97.701782,excellent
64.464604,fair
55.835553,excellent
45.616015,skip
77.941937,excellent
73.570636,fair
94.575164,excellent
75.993984,skip
84.288687,skip
89.486572,skip
92.209952,skip
89.618256,skip
59.404894,terrible
99.539159,terrible
54.498411,skip
73.686727,skip
68.002452,skip
59.413789,terrible
95.959459,skip
88.529055,skip
98.033076,excellent
33.991256,poor
7.369360,fair
