reduction_ratio,rating
79.362782,excellent
72.962857,good
28.799087,good
76.358336,fair
85.154774,excellent
59.146239,terrible
73.578064,poor
55.443706,good
35.165240,good
53.936144,fair
74.962256,fair
44.668183,skip
77.181189,good
69.653379,excellent
70.460231,fair
63.050218,good
85.991420,fair
97.368583,poor
31.625361,good
94.736481,fair
80.041692,fair
68.122025,fair
31.994485,excellent
78.501840,poor
78.583026,good
56.368977,fair
74.092269,terrible
90.362452,poor
69.624122,skip
53.759289,fair
76.412478,fair
33.858082,fair
78.063485,excellent
79.956145,fair
83.026456,excellent
57.340095,fair
29.924332,terrible
37.267465,fair
26.242088,good
52.993789,terrible
36.635706,good
60.441223,fair
34.263705,fair
52.005736,fair
93.880908,poor
93.576223,good
94.231988,fair
41.395829,fair
39.106855,terrible
77.059710,fair
24.835965,good
58.927892,fair
55.000000,terrible
9.623045,fair
44.237205,terrible
47.094455,fair
0.205526,skip
53.419631,poor
39.093319,skip
96.762025,fair
71.799434,good
50.915102,skip
43.096544,fair
53.490388,poor
78.751699,good
72.351878,skip
64.199368,fair
41.649385,fair
24.688285,good
51.711132,fair
76.740803,fair
61.607674,fair
69.442678,fair
75.107910,poor
56.668430,good
79.472054,good
98.093857,terrible
38.615151,terrible
51.876359,fair
69.280335,good
52.889340,terrible
67.316877,fair
55.388096,good
65.062673,good
71.776834,excellent
90.608844,excellent
98.095698,poor
83.182075,fair
94.003512,fair
46.229049,fair
64.656753,fair
77.941882,good
55.389825,excellent
40.767479,excellent
81.593227,excellent
56.559037,poor
72.446734,terrible
47.668060,excellent
33.458692,good
93.479621,poor
67.341804,terrible
72.437470,terrible
93.589767,fair
44.412434,skip
79.217476,terrible
54.464095,good
58.244673,good
76.449964,poor
83.909297,poor
42.201765,fair
71.113514,fair
64.276374,skip
49.179255,good
51.902417,fair
52.087566,fair
71.421440,skip
30.561621,good
44.491323,skip
36.182699,fair
76.372887,poor
34.335301,fair
72.402274,good
20.840977,fair
37.757120,skip
26.715174,poor
36.841354,good
74.743891,fair
64.349230,excellent
79.265265,fair
56.946962,fair
54.883396,terrible
74.398305,good
74.248883,fair
42.469307,terrible
